frame_no,old_axis,old_origin,new_axis,new_origin,axis_difference (deg)
690,"[-0.01095392328333844, -0.01658441984443826, 0.021506536518057118]","[12.390203755238886, 16.273321067450002, 4.818349058997224]",[ 1.17796972 -0.10207417  1.        ],"[12.390203755238886, 16.273321067450002, 4.818349058997224]",76.87697174503363
700,"[-0.0034485078458317275, -0.0049182972569497, 0.004667002408332621]","[12.401157678522225, 16.28990548729444, 4.796842522479167]",[ 1.17774076 -0.10440779  1.        ],"[12.401157678522225, 16.28990548729444, 4.796842522479167]",84.54856735530981
710,"[0.026650720136112582, 0.019121513273610447, 0.0023503613958339997]","[12.404606186368056, 16.29482378455139, 4.792175520070835]",[ 1.17902115 -0.07972487  1.        ],"[12.404606186368056, 16.29482378455139, 4.792175520070835]",50.694304462078065
720,"[0.00611990997082934, 0.004440991920830584, 0.00720916869861199]","[12.377955466231944, 16.27570227127778, 4.789825158675001]",[ 1.17739137 -0.06366904  1.        ],"[12.377955466231944, 16.27570227127778, 4.789825158675001]",28.96462217332133
730,"[-0.0070095158499974275, -0.016281242212496494, 0.009539377986111042]","[12.371835556261114, 16.27126127935695, 4.782615989976389]",[ 1.17749256 -0.05494946  1.        ],"[12.371835556261114, 16.27126127935695, 4.782615989976389]",85.98196553317501
740,"[-0.0005917810166664594, -0.021828171573609723, 0.0034147314222217062]","[12.378845072111112, 16.287542521569446, 4.773076611990278]",[ 1.16402951 -0.06701867  1.        ],"[12.378845072111112, 16.287542521569446, 4.773076611990278]",82.9125718850329
750,"[0.023362864277777007, 0.0016974224708263819, -0.01862524591111203]","[12.379436853127778, 16.309370693143055, 4.769661880568056]",[ 1.15274652 -0.06052958  1.        ],"[12.379436853127778, 16.309370693143055, 4.769661880568056]",79.66019778067985
760,"[0.018456324837503146, -0.0118935969236027, -0.003488861051388348]","[12.356073988850001, 16.30767327067223, 4.788287126479168]",[ 1.17048142 -0.05704596  1.        ],"[12.356073988850001, 16.30767327067223, 4.788287126479168]",56.72276809419825
770,"[0.0029289368083382783, 0.016644187944439892, -0.022338943124999844]","[12.337617664012498, 16.31956686759583, 4.791775987530556]",[-1.17401711  0.03499523 -1.        ],"[12.337617664012498, 16.31956686759583, 4.791775987530556]",63.199213636230795
780,"[0.030171517555551475, 0.016172893245840925, -0.03131046759722267]","[12.340546600820836, 16.33621105554027, 4.7694370444055565]",[ 1.16356521 -0.02690922  1.        ],"[12.340546600820836, 16.33621105554027, 4.7694370444055565]",87.29397942614041
790,"[0.005206958454170518, 0.0033539799972217565, -0.016022833388892543]","[12.370718118376388, 16.352383948786112, 4.738126576808334]",[-1.13195897  0.01044858 -1.        ],"[12.370718118376388, 16.352383948786112, 4.738126576808334]",66.93859596247665
800,"[0.004703368433336408, -0.0077399019263815205, -0.007355988479169184]","[12.375925076830558, 16.355737928783334, 4.722103743419441]",[-1.14171481  0.01679769 -1.        ],"[12.375925076830558, 16.355737928783334, 4.722103743419441]",83.98406268241968
810,"[-0.014145909869439421, 0.012172196711116356, 0.011072294379166792]","[12.371221708397222, 16.363477830709716, 4.7294597318986105]",[-1.13888198  0.00552843 -1.        ],"[12.371221708397222, 16.363477830709716, 4.7294597318986105]",81.06928517853721
820,"[0.0013024542819515261, -0.020328835343054408, 0.004365656427773423]","[12.357075798527783, 16.375650027420832, 4.740532026277777]",[ 1.1781518  -0.00574126  1.        ],"[12.357075798527783, 16.375650027420832, 4.740532026277777]",79.22849438908833
830,"[0.00661185622222682, 0.0007162475500024357, 0.01262215918333709]","[12.355773344245831, 16.395978862763886, 4.736166369850004]",[1.16169945 0.0180527  1.        ],"[12.355773344245831, 16.395978862763886, 4.736166369850004]",21.73109204645694
840,"[0.010404312033328367, 0.006501079877775595, 0.010771199399999709]","[12.349161488023604, 16.395262615213884, 4.723544210666667]",[1.15918083 0.02656509 1.        ],"[12.349161488023604, 16.395262615213884, 4.723544210666667]",23.03323613028125
850,"[-0.004606125851394083, -0.000805380677775247, 0.005874177423612181]","[12.338757175990276, 16.38876153533611, 4.712773011266667]",[1.13318321 0.04225393 1.        ],"[12.338757175990276, 16.38876153533611, 4.712773011266667]",86.86621489209104
860,"[-0.004300793618055465, -0.0222935517486178, 0.011216541156943372]","[12.34336330184167, 16.389566916013884, 4.706898833843055]",[1.13964598 0.03958015 1.        ],"[12.34336330184167, 16.389566916013884, 4.706898833843055]",81.86848438993829
870,"[0.013474364390280158, -0.022449083093054156, -0.002988150674999801]","[12.347664095459725, 16.4118604677625, 4.6956822926861115]",[1.14433594 0.04707882 1.        ],"[12.347664095459725, 16.4118604677625, 4.6956822926861115]",73.50819879141302
880,"[0.02330837553333076, -0.02007891216944202, -0.004879231143054774]","[12.334189731069445, 16.434309550855556, 4.698670443361111]",[1.16209578 0.05442379 1.        ],"[12.334189731069445, 16.434309550855556, 4.698670443361111]",63.77705280789965
890,"[0.008598276522221227, -0.005870251270838622, -0.017998875144445314]","[12.310881355536115, 16.454388463024998, 4.703549674504166]",[-1.16233564 -0.06615922 -1.        ],"[12.310881355536115, 16.454388463024998, 4.703549674504166]",74.75113851432995
900,"[0.0024250955138942487, -0.012440960034716397, -0.00024193976250330707]","[12.302283079013893, 16.460258714295836, 4.721548549648611]",[1.15905137 0.06890413 1.        ],"[12.302283079013893, 16.460258714295836, 4.721548549648611]",84.9451993347673
910,"[0.004128435729164437, 0.0005853911277817758, -0.0037836248819420604]","[12.299857983499999, 16.472699674330553, 4.721790489411115]",[1.16181157 0.07554391 1.        ],"[12.299857983499999, 16.472699674330553, 4.721790489411115]",82.97376173515137
920,"[0.017124539943056405, -0.003018495095840734, 0.005190343919445617]","[12.295729547770835, 16.47211428320277, 4.725574114293057]",[1.16195695 0.07915514 1.        ],"[12.295729547770835, 16.47211428320277, 4.725574114293057]",26.86676654115508
930,"[0.022914237043055508, 0.013546339859715317, -0.014187758994446575]","[12.278605007827778, 16.47513277829861, 4.720383770373611]",[1.17098166 0.07807485 1.        ],"[12.278605007827778, 16.47513277829861, 4.720383770373611]",72.86548592036627
